state,per_capita_spending_2020,growth_rate
Alabama,9280,4.6
Alaska,13642,5.9
Arizona,8756,4.5
Arkansas,9338,4.9
California,10299,4.8
Colorado,8583,4.4
Connecticut,12489,4.7
Delaware,12899,5.4
District Of Columbia,14381,4
Florida,9865,4.3
Georgia,8758,4.4
Hawaii,10291,4.9
Idaho,8148,4.8
Illinois,10190,4.7
Indiana,10517,5
Iowa,9789,4.7
Kansas,9408,4.5
Kentucky,10257,5.2
Louisiana,10515,4.9
Maine,12077,5.5
Maryland,10839,4.8
Massachusetts,13319,4.9
Michigan,9897,4.6
Minnesota,10846,4.9
Mississippi,9394,5.2
Missouri,9921,4.9
Montana,10212,5.2
Nebraska,10514,5.3
Nevada,8348,4.4
New Hampshire,11793,5.6
New Jersey,11868,4.9
New Mexico,8902,4.9
New York,14007,5.2
North Carolina,8917,4.9
North Dakota,11301,5.1
Ohio,10478,4.8
Oklahoma,9444,4.9
Oregon,10071,5.2
Pennsylvania,11603,4.8
Rhode Island,11694,4.9
South Carolina,8766,4.8
South Dakota,12495,5.8
Tennessee,9336,4.6
Texas,8406,4.5
Utah,7522,4.7
Vermont,12756,6
Virginia,9195,4.8
Washington,9265,4.6
West Virginia,12769,5.7
Wisconsin,9982,4.8
Wyoming,10989,5.7
Alabama,3350,3.9
Alaska,4802,5.2
Arizona,3263,4.5
Arkansas,3672,4.6
California,3838,4.8
Colorado,3163,4.2
Connecticut,4308,4.6
Delaware,5377,5.4
District Of Columbia,5652,3
Florida,3196,3.7
Georgia,3258,3.9
Hawaii,3784,4.5
Idaho,3555,5.1
Illinois,4027,4.2
Indiana,4155,4.9
Iowa,4109,4.7
Kansas,3910,4.6
Kentucky,4289,5
Louisiana,4295,4.5
Maine,4687,5.5
Maryland,3881,4.4
Massachusetts,5062,4.6
Michigan,3926,4.4
Minnesota,4043,5.2
Mississippi,3790,4.7
Missouri,3955,4.3
Montana,4613,5.4
Nebraska,4307,5.1
Nevada,2817,4.2
New Hampshire,4665,5.6
New Jersey,4135,4.5
New Mexico,3960,4.8
New York,5500,4.9
North Carolina,3325,4.4
North Dakota,4714,5.3
Ohio,4181,4.6
Oklahoma,3991,4.9
Oregon,3847,5.5
Pennsylvania,4199,4.1
Rhode Island,4261,4.6
South Carolina,3417,4.2
South Dakota,6991,6.6
Tennessee,3313,3.9
Texas,3070,4
Utah,2774,4.5
Vermont,5638,6.4
Virginia,3403,4.3
Washington,3447,4.8
West Virginia,5724,5.6
Wisconsin,3975,4.9
Wyoming,5329,5.9
Alabama,2328,4.2
Alaska,4968,6.9
Arizona,2291,3.8
Arkansas,2133,4.3
California,2715,3.8
Colorado,2161,4.1
Connecticut,2849,4.4
Delaware,2872,4.8
District Of Columbia,3348,4.2
Florida,2816,3.9
Georgia,2455,4.5
Hawaii,2710,4.5
Idaho,1698,3.9
Illinois,2375,4.5
Indiana,2573,5.2
Iowa,2040,4.6
Kansas,2210,4.1
Kentucky,2329,4.9
Louisiana,2240,4.4
Maine,2492,5.5
Maryland,2971,4.7
Massachusetts,2883,4.9
Michigan,2148,4.2
Minnesota,2227,4.4
Mississippi,2050,4.8
Missouri,2185,4.8
Montana,2307,5.1
Nebraska,2400,5.4
Nevada,2301,3.7
New Hampshire,2598,5.2
New Jersey,3160,5
New Mexico,1764,4.2
New York,2422,4.6
North Carolina,2159,4.8
North Dakota,2309,4.4
Ohio,2511,4.6
Oklahoma,2079,4.5
Oregon,2391,4.7
Pennsylvania,2619,4.7
Rhode Island,2529,4.9
South Carolina,2045,4.8
South Dakota,1959,4.6
Tennessee,2482,4.8
Texas,2168,4.3
Utah,1643,4.2
Vermont,2366,5.4
Virginia,2407,4.6
Washington,2473,4.4
West Virginia,2483,5
Wisconsin,2628,5
Wyoming,2331,5.4
Alabama,262,6.3
Alaska,583,6.8
Arizona,380,5.9
Arkansas,373,6.8
California,315,4
Colorado,412,5.4
Connecticut,430,5.9
Delaware,401,5.7
District Of Columbia,327,5.2
Florida,404,5.6
Georgia,303,5.6
Hawaii,322,4.9
Idaho,391,6.3
Illinois,422,6.7
Indiana,322,6.1
Iowa,406,6.1
Kansas,394,6.1
Kentucky,356,7.1
Louisiana,377,7.4
Maine,417,6.1
Maryland,405,5.9
Massachusetts,396,5.6
Michigan,377,6.1
Minnesota,388,6.1
Mississippi,290,7.2
Missouri,312,6.4
Montana,450,6.6
Nebraska,460,7.4
Nevada,341,4.8
New Hampshire,407,5.6
New Jersey,459,5.2
New Mexico,369,5.8
New York,415,5.7
North Carolina,324,6.5
North Dakota,369,6.5
Ohio,300,5.2
Oklahoma,358,6.2
Oregon,492,6.3
Pennsylvania,376,5.5
Rhode Island,396,6
South Carolina,264,6.3
South Dakota,374,6.3
Tennessee,304,5.9
Texas,272,5.2
Utah,305,6.2
Vermont,458,6.9
Virginia,332,6.3
Washington,426,5.7
West Virginia,351,7.1
Wisconsin,326,5.8
Wyoming,598,7.8
Alabama,361,4.6
Alaska,636,4.5
Arizona,437,4.4
Arkansas,374,4.9
California,453,3.4
Colorado,542,4.5
Connecticut,510,3.4
Delaware,493,4.6
District Of Columbia,402,3.3
Florida,425,4.1
Georgia,388,4.3
Hawaii,416,3.2
Idaho,487,4.5
Illinois,447,4.5
Indiana,419,5
Iowa,427,4.6
Kansas,465,4.8
Kentucky,340,4.8
Louisiana,370,5
Maine,451,4.8
Maryland,448,4
Massachusetts,558,4.5
Michigan,432,3.7
Minnesota,497,4.6
Mississippi,341,5.5
Missouri,383,4.6
Montana,520,5.3
Nebraska,422,4.8
Nevada,437,4.3
New Hampshire,648,5.3
New Jersey,467,3.6
New Mexico,406,5.1
New York,418,3.7
North Carolina,453,5.2
North Dakota,559,6.1
Ohio,374,4.1
Oklahoma,411,4.9
Oregon,550,4
Pennsylvania,385,3.9
Rhode Island,366,3.1
South Carolina,429,5.1
South Dakota,577,6.2
Tennessee,377,4.6
Texas,340,4.3
Utah,505,4.8
Vermont,551,5.1
Virginia,474,4.7
Washington,582,3.8
West Virginia,370,5.4
Wisconsin,485,4.4
Wyoming,559,5.5
Alabama,254,5
Alaska,171,11.8
Arizona,231,6.3
Arkansas,313,7.3
California,480,9.1
Colorado,327,7.8
Connecticut,342,4.7
Delaware,365,7.2
District Of Columbia,531,8.2
Florida,407,5.4
Georgia,237,4.6
Hawaii,245,10.2
Idaho,242,7.8
Illinois,297,6.4
Indiana,273,7.5
Iowa,198,6.2
Kansas,229,6.8
Kentucky,193,4.5
Louisiana,403,7.8
Maine,351,6.3
Maryland,272,5.9
Massachusetts,751,7.3
Michigan,375,7.2
Minnesota,599,9.2
Mississippi,263,5.2
Missouri,290,6.6
Montana,178,5
Nebraska,191,6.8
Nevada,408,8.1
New Hampshire,397,7.5
New Jersey,330,5.7
New Mexico,305,8.5
New York,849,5.8
North Carolina,256,5.5
North Dakota,140,7.1
Ohio,338,7.3
Oklahoma,277,6.8
Oregon,264,7.6
Pennsylvania,426,7.6
Rhode Island,372,6.3
South Carolina,226,5.9
South Dakota,123,9.5
Tennessee,344,4.4
Texas,327,6.4
Utah,231,7.7
Vermont,411,6.7
Virginia,281,7.2
Washington,220,5.6
West Virginia,402,7.6
Wisconsin,300,6.6
Wyoming,125,6.2
Alabama,1685,6.5
Alaska,881,4.8
Arizona,1087,5.3
Arkansas,1339,6.1
California,1121,5.5
Colorado,886,4.9
Connecticut,1788,6.7
Delaware,1767,6.6
District Of Columbia,1956,7.4
Florida,1508,6.2
Georgia,1250,5.6
Hawaii,1823,6.5
Idaho,778,4.6
Illinois,1221,5.8
Indiana,1319,5.7
Iowa,1036,5.1
Kansas,935,4.6
Kentucky,1446,6
Louisiana,1529,6.2
Maine,1432,6.7
Maryland,1267,5.5
Massachusetts,1469,6.3
Michigan,1330,5.6
Minnesota,938,5.1
Mississippi,1404,6.2
Missouri,1425,6.3
Montana,768,4.2
Nebraska,1253,5.8
Nevada,1236,5.7
New Hampshire,1272,5.7
New Jersey,1694,6.4
New Mexico,901,4.9
New York,1906,7.2
North Carolina,1439,6.2
North Dakota,1160,5.8
Ohio,1141,5.4
Oklahoma,1267,5.7
Oregon,866,4.8
Pennsylvania,1543,6.1
Rhode Island,1765,6.7
South Carolina,1364,6.3
South Dakota,1013,5.7
Tennessee,1395,5.7
Texas,1351,6
Utah,1066,5.7
Vermont,942,5
Virginia,1119,5.3
Washington,792,4
West Virginia,1736,6.4
Wisconsin,1040,5.3
Wyoming,744,4.3
Alabama,162,4.2
Alaska,147,3.5
Arizona,195,3.4
Arkansas,113,4
California,118,4.2
Colorado,191,3.3
Connecticut,155,4
Delaware,209,3.8
District Of Columbia,124,2.8
Florida,275,3.6
Georgia,157,3.6
Hawaii,203,4.9
Idaho,155,3.2
Illinois,155,4.6
Indiana,186,4
Iowa,153,3.3
Kansas,140,4.1
Kentucky,166,4.1
Louisiana,110,3.3
Maine,154,4.7
Maryland,149,4.1
Massachusetts,208,5
Michigan,324,5.3
Minnesota,148,3.2
Mississippi,187,5.3
Missouri,120,4.1
Montana,180,4.2
Nebraska,197,4.3
Nevada,171,4.2
New Hampshire,197,4.9
New Jersey,190,4.2
New Mexico,227,4.3
New York,184,5.3
North Carolina,145,3.5
North Dakota,156,4
Ohio,158,4.2
Oklahoma,109,2.9
Oregon,149,4.5
Pennsylvania,169,4.3
Rhode Island,150,5
South Carolina,174,4.4
South Dakota,128,3.4
Tennessee,155,4.4
Texas,115,2.8
Utah,222,4
Vermont,148,4.7
Virginia,151,4.2
Washington,165,3.8
West Virginia,210,4.3
Wisconsin,142,3.8
Wyoming,141,3.7
Alabama,525,4.9
Alaska,199,3.3
Arizona,345,3.5
Arkansas,591,4.4
California,469,4.9
Colorado,479,4
Connecticut,1015,3.1
Delaware,790,4.9
District Of Columbia,698,2.5
Florida,541,3.9
Georgia,380,3.7
Hawaii,525,5
Idaho,378,3.5
Illinois,735,4.4
Indiana,749,3.6
Iowa,919,4.3
Kansas,708,3.9
Kentucky,604,4.4
Louisiana,603,4.6
Maine,655,2.9
Maryland,718,4.7
Massachusetts,829,2.8
Michigan,585,4.4
Minnesota,782,2.8
Mississippi,621,5.5
Missouri,731,4.1
Montana,547,3.9
Nebraska,700,4
Nevada,298,4.3
New Hampshire,800,4.8
New Jersey,770,4.4
New Mexico,349,4.1
New York,875,3.9
