"","feature_id","feature_name","feature_type","based_on_anova","anova_priority","uses_multipliers","f_value","p_value","eta_squared","significant","created"
"1",1,"smoker_cost_multiplier","Standalone_Main_Effect",TRUE,"Very_High",TRUE,NA,NA,NA,NA,FALSE
"2",2,"sex_cost_premium","Standalone_Main_Effect",TRUE,"Very_High",TRUE,NA,NA,NA,NA,FALSE
"3",3,"bmi_risk_factor","Standalone_Main_Effect",TRUE,"Very_High",TRUE,NA,NA,NA,NA,FALSE
"4",4,"region_cost_index","Standalone_Main_Effect",TRUE,"Very_High",TRUE,NA,NA,NA,NA,FALSE
"5",5,"has_children_factor","Standalone_Main_Effect",TRUE,"High",TRUE,NA,NA,NA,NA,FALSE
"6",6,"age_cost_curve","Standalone_Main_Effect",TRUE,"High",TRUE,NA,NA,NA,NA,FALSE
"7",7,"age_squared","Non_Linear_Transform",FALSE,"Medium",FALSE,NA,NA,NA,NA,FALSE
"8",8,"bmi_squared","Non_Linear_Transform",FALSE,"Medium",FALSE,NA,NA,NA,NA,FALSE
"9",9,"age_cubed","Non_Linear_Transform",FALSE,"Medium",FALSE,NA,NA,NA,NA,FALSE
"10",10,"age_log","Non_Linear_Transform",FALSE,"Medium",FALSE,NA,NA,NA,NA,FALSE
"11",11,"bmi_log","Non_Linear_Transform",FALSE,"Medium",FALSE,NA,NA,NA,NA,FALSE
"12",12,"health_risk_score","Risk_Score",FALSE,"Medium",TRUE,NA,NA,NA,NA,FALSE
"13",13,"demographic_risk_level","Risk_Score",FALSE,"Medium",TRUE,NA,NA,NA,NA,FALSE
"14",14,"compound_risk_score","Risk_Score",FALSE,"Medium",TRUE,NA,NA,NA,NA,FALSE
"15",15,"smoker_age_interaction","Statistical_Interaction",TRUE,"Very_High",TRUE,NA,NA,NA,NA,FALSE
"16",16,"smoker_sex_combo","Statistical_Interaction",TRUE,"Very_High",TRUE,NA,NA,NA,NA,FALSE
"17",17,"smoker_bmi_interaction","Statistical_Interaction",FALSE,"Medium",TRUE,NA,NA,NA,NA,FALSE
"18",18,"region_children_interaction","Statistical_Interaction",TRUE,"Medium",TRUE,NA,NA,NA,NA,FALSE
"19",19,"has_children_age_interaction","Statistical_Interaction",TRUE,"High",TRUE,NA,NA,NA,NA,FALSE
"20",20,"region_cost_multiplier","Statistical_Interaction",TRUE,"High",TRUE,NA,NA,NA,NA,FALSE
"21",21,"smoker_region_combo","Statistical_Interaction",TRUE,"Medium",TRUE,NA,NA,NA,NA,FALSE
"22",22,"sex_bmi_interaction","Statistical_Interaction",FALSE,"Medium",TRUE,NA,NA,NA,NA,FALSE
"23",23,"age_region_interaction","Statistical_Interaction",TRUE,"Medium",TRUE,NA,NA,NA,NA,FALSE
"24",24,"smoker_encoded","Categorical_Encoding",FALSE,"Medium",FALSE,NA,NA,NA,NA,FALSE
"25",25,"sex_encoded","Categorical_Encoding",FALSE,"Medium",FALSE,NA,NA,NA,NA,FALSE
"26",26,"region_encoded","Categorical_Encoding",FALSE,"Medium",FALSE,NA,NA,NA,NA,FALSE
"27",27,"bmi_category_encoded","Categorical_Encoding",FALSE,"Medium",FALSE,NA,NA,NA,NA,FALSE
"28",28,"age_bins","Categorical_Binning",FALSE,"Medium",FALSE,NA,NA,NA,NA,FALSE
"29",29,"charges_percentile_rank","Categorical_Binning",FALSE,"Medium",FALSE,NA,NA,NA,NA,FALSE
"30",30,"smoker_years_estimate","Advanced_Standalone",FALSE,"Medium",FALSE,NA,NA,NA,NA,FALSE
"31",31,"bmi_health_category","Advanced_Standalone",FALSE,"Medium",FALSE,NA,NA,NA,NA,FALSE
"32",32,"regional_market_tier","Advanced_Standalone",FALSE,"Medium",FALSE,NA,NA,NA,NA,FALSE
